window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
10,0.5,full_window,10,0.04320778857890789,0.9334667333666833,0.08259257788440255,67997,1999,65998,685.0,0.9993902351194087,0.08418677962192704,163.14807989027943
10,0.5,half_window,5,0.024295189493654133,0.7538769384692346,0.04707334641489336,67997,1999,65998,685.0,0.9993902351194087,0.08418677962192704,163.14807989027943
10,0.5,quarter_window,2,0.011824051061076224,0.40220110055027514,0.02297274129950283,67997,1999,65998,685.0,0.9993902351194087,0.08418677962192704,163.14807989027943
10,0.71,full_window,10,0.04496795675056389,0.8819409704852427,0.08557277258209302,55862,1999,53863,685.0,0.999395546073783,0.09972709140685872,161.94187794887748
10,0.71,half_window,5,0.025885217142243386,0.6798399199599799,0.04987155203904952,55862,1999,53863,685.0,0.999395546073783,0.09972709140685872,161.94187794887748
10,0.71,quarter_window,2,0.012727793491103076,0.35567783891945975,0.024576139368486547,55862,1999,53863,685.0,0.999395546073783,0.09972709140685872,161.94187794887748
10,0.93,full_window,10,0.04599041041657502,0.7968984492246123,0.08696208597601739,45466,1999,43467,685.0,0.9994031490903855,0.12215367621419657,161.05880122195302
10,0.93,half_window,5,0.026899221396208154,0.592296148074037,0.051461319010818025,45466,1999,43467,685.0,0.9994031490903855,0.12215367621419657,161.05880122195302
10,0.93,quarter_window,2,0.013504596841595919,0.3071535767883942,0.025871694933108605,45466,1999,43467,685.0,0.9994031490903855,0.12215367621419657,161.05880122195302
10,1.14,full_window,10,0.047833033752746154,0.4092046023011506,0.08565376682169681,20028,1999,18029,881.0,0.9994653885343403,0.33760793628017144,155.93557906206019
10,1.14,half_window,5,0.02841022568404234,0.2801400700350175,0.05158862411258184,20028,1999,18029,881.0,0.9994653885343403,0.33760793628017144,155.93557906206019
10,1.14,quarter_window,2,0.01457958857599361,0.14607303651825912,0.026512915966768056,20028,1999,18029,881.0,0.9994653885343403,0.33760793628017144,155.93557906206019
10,1.36,full_window,10,0.04870451649440748,0.3071535767883942,0.08407714608372287,14126,1999,12127,881.0,0.9994812476365111,0.38552558199590853,152.54282170542635
10,1.36,half_window,5,0.0298739912218604,0.20860430215107553,0.05226339892963001,14126,1999,12127,881.0,0.9994812476365111,0.38552558199590853,152.54282170542635
10,1.36,quarter_window,2,0.015503327198074473,0.10955477738869435,0.027162790697674417,14126,1999,12127,881.0,0.9994812476365111,0.38552558199590853,152.54282170542635
10,1.57,full_window,10,0.04828372026776812,0.15607803901950976,0.0737518447897698,7021,1999,5022,989.0,0.9994833969970118,0.4985374870681299,151.54656319290464
10,1.57,half_window,5,0.028770830366044723,0.10055027513756878,0.04474002751486348,7021,1999,5022,989.0,0.9994833969970118,0.4985374870681299,151.54656319290464
10,1.57,quarter_window,2,0.016379433129183878,0.057528764382191094,0.025498891352549888,7021,1999,5022,989.0,0.9994833969970118,0.4985374870681299,151.54656319290464
10,1.79,full_window,10,0.05336505778382053,0.0720360180090045,0.06131057870536725,2942,1999,943,1669.0,0.9992458841290415,0.5133880627168682,193.94009309856304
10,1.79,half_window,5,0.033650577838205305,0.04952476238119059,0.04007285974499089,2942,1999,943,1669.0,0.9992458841290415,0.5133880627168682,193.94009309856304
10,1.79,quarter_window,2,0.020054384772263765,0.029514757378689346,0.023881805302570332,2942,1999,943,1669.0,0.9992458841290415,0.5133880627168682,193.94009309856304
10,10.0,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,10.0,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,10.0,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,2.0,full_window,10,0.055412371134020616,0.0400200100050025,0.0464748677695441,1552,1999,447,3181.0,0.998707808041946,0.42515849845251213,305.805406927626
