dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,400000.0,0.014295833333333334,0.013313624246602054,24,0.0027176321692767625
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,410000.0,0.015458333333333333,0.014370801214136666,24,0.0029334275141336503
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,420000.0,0.022008333333333335,0.026113679851034376,24,0.0053304325784527045
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,430000.0,0.023391666666666668,0.03656605597101446,24,0.007464014919586292
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,440000.0,0.020054166666666668,0.030662907476746826,24,0.006259039779016747
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,450000.0,0.015645454545454546,0.020549932852925345,22,0.0043812604053033765
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,460000.0,0.011795,0.012402651456760958,20,0.0027733171758554296
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,470000.0,0.011188888888888889,0.012385232615017958,18,0.0029192273228839986
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,480000.0,0.01460625,0.014077900825999119,16,0.0035194752064997797
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,490000.0,0.0147375,0.015750634907837846,16,0.0039376587269594615
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,500000.0,0.025693749999999998,0.0399676280465412,16,0.0099919070116353
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,510000.0,0.01684375,0.018007848983151765,16,0.004501962245787941
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,520000.0,0.012150000000000001,0.013291902296761991,16,0.003322975574190498
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,530000.0,0.019025,0.025725694030158515,16,0.006431423507539629
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,540000.0,0.020643750000000002,0.038059093854163166,16,0.009514773463540791
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,550000.0,0.016175,0.025291065616141997,16,0.006322766404035499
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,560000.0,0.01270625,0.013956526251184426,16,0.0034891315627961065
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,570000.0,0.013000000000000001,0.01590224302836972,16,0.00397556075709243
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,580000.0,0.011292857142857143,0.01446940880647137,14,0.0038671121673561084
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,590000.0,0.01545,0.028877852839423238,14,0.007717930813628485
