dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,360000.0,0.0056,0.00491218892144836,26,0.0009633595063430571
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,370000.0,0.006380769230769231,0.006116863198128219,26,0.0011996155695858982
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,380000.0,0.00835,0.007918827317662415,24,0.0016164238574571095
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,390000.0,0.007879166666666666,0.006768146568375605,24,0.001381542133074101
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,400000.0,0.006620833333333333,0.006076753936584654,24,0.0012404122030901176
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,410000.0,0.007145833333333334,0.00628268698863006,24,0.0012824481113138887
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,420000.0,0.009129166666666667,0.008692449455489049,24,0.0017743388150734706
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,430000.0,0.007716666666666667,0.00792753411228544,24,0.0016182011244672441
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,440000.0,0.0067,0.0071627660433176464,24,0.0014620934960885188
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,450000.0,0.006390909090909091,0.007071802430101509,22,0.0015077133440229884
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,460000.0,0.00546,0.006312010272822005,20,0.0014114084044706998
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,470000.0,0.005277777777777778,0.0057757663668281285,18,0.001361361188177786
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,480000.0,0.0071375,0.007053403433804138,16,0.0017633508584510346
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,490000.0,0.00593125,0.006142281742154133,16,0.0015355704355385332
