Running simulated data training
Device: cuda
Starting simulated data run...

============================================================
PREPROCESSING SIMULATED DATA
============================================================
Loading simulated data from Data/simulated/simulated_data...
Found 204 simulated data files
Loaded 204 simulated chromosomes

=== Processing Training Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 73772

=== Processing Validation Data ===

=== Processing Test Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 32293

Final dataset shapes:
  Train: (73772, 2000, 3)
  Test: (32293, 2000, 3)

============================================================
CREATING DATALOADERS
============================================================
Randomly sampled 737/73772 samples (1.0%)
Applied denoising with 50.0% masking
Applied denoising with 50.0% masking
Feature dimension: 1
Actual sequence length from data: 2000

============================================================
INITIALIZING MODEL
============================================================
Model created with seq_length=2000, feature_dim=1

============================================================
TRAINING MODEL
============================================================
Epoch [60/100], Total Loss: 21.2640, NLL: 1.0553, Masked: 20.2088
Epoch [61/100], Total Loss: 21.2472, NLL: 1.0545, Masked: 20.1927
Epoch [62/100], Total Loss: 21.2485, NLL: 1.0572, Masked: 20.1914
Epoch [63/100], Total Loss: 21.2414, NLL: 1.0528, Masked: 20.1886
Epoch [64/100], Total Loss: 21.2422, NLL: 1.0528, Masked: 20.1895
Epoch [65/100], Total Loss: 21.2449, NLL: 1.0527, Masked: 20.1922
Epoch [66/100], Total Loss: 21.2426, NLL: 1.0539, Masked: 20.1886
Epoch [67/100], Total Loss: 21.2518, NLL: 1.0538, Masked: 20.1981
Epoch [68/100], Total Loss: 21.2536, NLL: 1.0541, Masked: 20.1995
Epoch [69/100], Total Loss: 21.2391, NLL: 1.0525, Masked: 20.1867
Epoch [70/100], Total Loss: 21.2301, NLL: 1.0521, Masked: 20.1781
Epoch [71/100], Total Loss: 21.2512, NLL: 1.0531, Masked: 20.1981
Epoch [72/100], Total Loss: 21.2510, NLL: 1.0524, Masked: 20.1985
Epoch [73/100], Total Loss: 21.2581, NLL: 1.0744, Masked: 20.1837
Epoch [74/100], Total Loss: 21.2507, NLL: 1.0617, Masked: 20.1890
Epoch [75/100], Total Loss: 21.2419, NLL: 1.0545, Masked: 20.1874
Epoch [76/100], Total Loss: 21.2445, NLL: 1.0537, Masked: 20.1909
Epoch [77/100], Total Loss: 21.2314, NLL: 1.0528, Masked: 20.1787
Epoch [78/100], Total Loss: 21.2279, NLL: 1.0512, Masked: 20.1767
Epoch [79/100], Total Loss: 21.2395, NLL: 1.0544, Masked: 20.1852
Epoch [80/100], Total Loss: 21.2352, NLL: 1.0528, Masked: 20.1824
Epoch [81/100], Total Loss: 21.2448, NLL: 1.0526, Masked: 20.1922
Epoch [82/100], Total Loss: 21.2454, NLL: 1.0537, Masked: 20.1917
Epoch [83/100], Total Loss: 21.2370, NLL: 1.0516, Masked: 20.1854
Epoch [84/100], Total Loss: 21.2387, NLL: 1.0521, Masked: 20.1866
Epoch [85/100], Total Loss: 21.2558, NLL: 1.0548, Masked: 20.2010
Epoch [86/100], Total Loss: 21.2554, NLL: 1.0544, Masked: 20.2010
Epoch [87/100], Total Loss: 21.2461, NLL: 1.0551, Masked: 20.1910
