true_theta,pi_mean,pi_std,mu_mean,mu_std
0.1,-0.015625431926945064,0.10022563418950765,-0.054249646092122995,0.2148516216787952
0.5,-0.008682303123975742,0.058349275346576655,-0.005806079241553887,0.10411125620504914
1.0,-0.004107142852674111,0.04297083765809549,-0.008444185351447583,0.08299929050479528
5.0,-0.000836778339833818,0.03994073954223611,-0.00887373712613539,0.07103187584816882
10.0,-0.011066161871497225,0.05159288843175358,-0.008304067129472167,0.055111359348103024
50.0,-0.001923413669679246,0.0513411736622695,-0.008203491534353315,0.07009189863875799
100.0,-0.0010416709627033196,0.0496441345450628,-0.011105679621045748,0.05273458017956799
