distance,mean_density,sd_density,n_datasets,se_density
31,0.05412069103745961,0.028006125861251514,560,0.001183474821504953
32,0.054498122454081935,0.02826162071742379,560,0.0011942714497427153
33,0.05451007154199486,0.028136071349001857,560,0.0011889660205977018
34,0.054283604289269705,0.028070069748342308,560,0.0011861769439168862
35,0.05500867948278773,0.0284221498161731,560,0.0012010550422835008
36,0.05504163961708023,0.028608062666094156,560,0.0012089112940894752
37,0.05589482653536287,0.028703232507554327,560,0.0012129329539110703
38,0.05655132252509858,0.028812438304688954,560,0.001217547741115538
39,0.057272976867496835,0.029535791678528187,560,0.0012481150001941606
40,0.05760553578137135,0.029616666722523114,560,0.001251532594570844
41,0.058929524958519976,0.030152305210530424,560,0.0012741674519276304
42,0.05925937194110147,0.030774414741862068,560,0.0013004563777932355
43,0.059930100728586816,0.030920102316711957,560,0.0013066128014805087
44,0.060251392422606354,0.0314115466799292,560,0.0013273801162072788
45,0.0602055007495594,0.030991450130762266,560,0.0013096277969110186
46,0.06132208538041683,0.031761363806269954,560,0.001342162587842468
47,0.06133135237581283,0.03191372502019458,560,0.001348601024252668
48,0.061449589128338464,0.03172116664849694,560,0.0013404639478964754
49,0.06249923463510618,0.03185845550289583,560,0.0013462654608675767
50,0.06348789801244435,0.033003231718946584,560,0.001394641085352942
51,0.06356699630729772,0.03283331443131623,560,0.0013874607694233057
52,0.06462163583276355,0.03346530861980962,560,0.00141416739829175
53,0.06485491921135053,0.03344273386128361,560,0.0014132134406308638
54,0.06498022088588787,0.03383206553475772,560,0.0014296657066477246
55,0.06502574075448066,0.03363760710844902,560,0.001421448338329594
56,0.06462810917533093,0.03367479412784848,560,0.0014230197767129006
57,0.0651069143786888,0.03374142411343496,560,0.001425835407503446
58,0.06554095769337417,0.03388524644559285,560,0.001431913010300857
59,0.06604125110298634,0.033882725457166404,560,0.0014318064790961203
60,0.06692776466107991,0.03452462172765303,560,0.0014589315473009274
61,0.06742589434144144,0.0350448690325901,560,0.0014809160084648576
62,0.06875507398116609,0.03576134481835324,560,0.0015111926364022416
63,0.0690189674306192,0.03530908836237038,560,0.0014920813130021237
64,0.06920396278422687,0.035427953541890586,560,0.0014971042836126524
65,0.06885247076521248,0.03534915707736212,560,0.0014937745252499627
66,0.06936350401419783,0.03557911215483507,560,0.001503491900856097
67,0.07021831353838805,0.03619466854108883,560,0.0015295039057994808
68,0.06970518337780436,0.03608709028416291,560,0.0015249578947216197
69,0.07017864174354488,0.036014695189121086,560,0.0015218986435918162
70,0.07161443048724819,0.037166768691687335,560,0.0015705826347145087
71,0.07303772636625483,0.03767403914957634,560,0.0015920187240036573
72,0.07403360638902948,0.03837733549411688,560,0.00162173841889983
73,0.07518798808778952,0.03903711655328055,560,0.0016496192573669031
74,0.07615084662743399,0.039591929946531344,560,0.0016730644023612168
75,0.07668749244340413,0.04001336511462382,560,0.001690873288631496
76,0.07694164047604961,0.04029927050833837,560,0.0017029549966288801
77,0.07840528268143732,0.040485986937220095,560,0.0017108452058437354
78,0.07825937074097303,0.0410732927153348,560,0.0017356634047037496
79,0.07832272062940132,0.040970464197010954,560,0.0017313181067153084
80,0.08049512792529755,0.04207313524884264,560,0.001777914463266384
81,0.08277637422154835,0.04353968381115105,560,0.0018398874511264313
82,0.08485086831051694,0.04511819958460035,560,0.001906591917230769
83,0.08623075752367246,0.04508437843080675,560,0.0019051627126293446
84,0.08757947400286159,0.04601069074566732,560,0.001944306552334936
85,0.08939521291098529,0.04779213561437502,560,0.002019586337852566
86,0.09083845815570298,0.04832953585137071,560,0.0020422956426920168
87,0.09171721696012584,0.04788615442077397,560,0.0020235593575651943
88,0.09293246503427065,0.04926260278553089,560,0.0020817249171596153
89,0.09357991058081387,0.04978060934944425,560,0.0021036146897330486
90,0.09529818108324195,0.051606126807793036,560,0.002180756882083282
91,0.096942907908008,0.05196050426809379,560,0.002195732063000936
92,0.09870227318355149,0.05299463103297595,560,0.002239431894764375
93,0.1002088096983671,0.05408901892523621,560,0.002285678223937732
94,0.10173199454805186,0.055103095682252544,560,0.0023285307882284145
95,0.10368830802220931,0.05665795561885182,560,0.002394235612774604
96,0.10591315999018182,0.05779485150829594,560,0.002442278232681957
97,0.1057961433733997,0.05798700894393126,560,0.0024503983663972024
98,0.10686528996905537,0.058676187338018965,560,0.002479521468998712
99,0.10796709112455127,0.058252781501981675,560,0.002461629306808522
100,0.10742615297516925,0.059589267027839704,560,0.0025181061282366214
101,0.10992636407762184,0.06119213673797685,560,0.002585839736001515
102,0.11117717832836313,0.06054373820122578,560,0.0025584398968967696
103,0.11329673151358802,0.06325674707370732,560,0.002673085446481469
104,0.11478880704994532,0.06295984774846183,560,0.002660539160083607
105,0.11426521988408998,0.0633032860654032,560,0.0026750520778235963
106,0.1170980110440892,0.064890452141747,560,0.002742122085942733
107,0.11769873829683723,0.06534788969795267,560,0.002761452350787725
108,0.11794072586118501,0.06555533490242611,560,0.0027702185106469124
109,0.12028477143755388,0.06833156735624539,560,0.00288753574416995
110,0.12219476299133701,0.06763222932584048,560,0.0028579833185754418
111,0.1213209485777656,0.06895808127877051,560,0.002914010789533388
112,0.12305837154112155,0.06881369348495783,560,0.0029079092916198053
