,,mean_norm
bem1-aid-dbem3_a,MNN2,1.0247353816826814
bem1-aid-dbem3_a,YBR016W,1.0433693216032058
bem1-aid-dbem3_a,KAP104,0.5744292255454577
bem1-aid-dbem3_a,GAL7,0.842570233389666
bem1-aid-dbem3_a,GAL10,1.1163612418057205
bem1-aid-dbem3_a,GAL1,1.0049011115476951
bem1-aid-dbem3_a,FUR4,1.002584832916235
bem1-aid-dbem3_a,POA1,1.2597353447499982
bem1-aid-dbem3_a,CHS3,-0.18736831337726323
bem1-aid-dbem3_a,SCO2,0.4442316809850696
bem1-aid-dbem3_a,OLA1,0.842570233389666
bem1-aid-dbem3_a,ETR1,-0.7063642439297261
bem1-aid-dbem3_a,YBR027C,1.3707040407398694
bem1-aid-dbem3_a,YPK3,0.24435883586411042
bem1-aid-dbem3_a,CDS1,1.079746759191791
bem1-aid-dbem3_a,RKM3,1.4578062804263712
bem1-aid-dbem3_a,RPL4A,-1.1195608384788676
bem1-aid-dbem3_a,YBR032W,0.7663787165140044
bem1-aid-dbem3_a,EDS1,0.9154541554400849
bem1-aid-dbem3_a,HMT1,1.1195608384788673
bem1-aid-dbem3_a,PDX3,1.410851748736321
bem1-aid-dbem3_a,CSG2,1.2233511078342827
bem1-aid-dbem3_a,SCO1,1.1634465789543667
bem1-aid-dbem3_a,CHS2,1.2887400507507354
bem1-aid-dbem3_a,ATP3,0.6348473845752258
bem1-aid-dbem3_a,FIG1,0.6597076367635902
bem1-aid-dbem3_a,FAT1,-0.4845548440670646
bem1-aid-dbem3_a,CST26,0.45543068334865716
bem1-aid-dbem3_a,QDR3,0.6981678082741006
bem1-aid-dbem3_a,TCM62,1.1029029655249372
bem1-aid-dbem3_a,GIP1,0.442021117448923
bem1-aid-dbem3_a,ZTA1,0.35318212196486304
bem1-aid-dbem3_a,FMP23,1.029268107070347
bem1-aid-dbem3_a,RPS11B,0.7358252867072743
bem1-aid-dbem3_a,REB1,0.8950250887742234
bem1-aid-dbem3_a,REG2,0.7234451985094135
bem1-aid-dbem3_a,YBR051W,1.1275851633083709
bem1-aid-dbem3_a,RFS1,1.3918335015653143
bem1-aid-dbem3_a,YBR053C,0.5954267054349507
bem1-aid-dbem3_a,YRO2,1.219650353853063
bem1-aid-dbem3_a,PRP6,0.4917416218256519
bem1-aid-dbem3_a,YBR056W,1.4144316674816684
bem1-aid-dbem3_a,YBR056W-A,
bem1-aid-dbem3_a,YBR056C-B,
bem1-aid-dbem3_a,MUM2,1.282219627104419
bem1-aid-dbem3_a,UBP14,0.7558724866512756
bem1-aid-dbem3_a,TSC3,1.0334106835136423
bem1-aid-dbem3_a,AKL1,0.5597804192394337
bem1-aid-dbem3_a,ORC2,0.9412168715270417
bem1-aid-dbem3_a,TRM7,1.2572829772705274
bem1-aid-dbem3_a,YBR062C,0.5597804192394337
bem1-aid-dbem3_a,YBR063C,-0.35318212196486304
bem1-aid-dbem3_a,YBR064W,-0.49976594665515545
bem1-aid-dbem3_a,ECM2,0.4905849037445709
bem1-aid-dbem3_a,NRG2,0.716069948732443
bem1-aid-dbem3_a,TIP1,1.338587412768484
bem1-aid-dbem3_a,BAP2,0.5880951531063059
bem1-aid-dbem3_a,TAT1,1.3030908354313642
bem1-aid-dbem3_a,ALG14,1.0266617888767213
bem1-aid-dbem3_a,YBR071W,1.2717749314602167
bem1-aid-dbem3_a,HSP26,1.3822645049231157
bem1-aid-dbem3_a,YBR072C-A,0.7549280302253741
bem1-aid-dbem3_a,RDH54,1.066325189991761
bem1-aid-dbem3_a,PFF1,1.1239647906644097
bem1-aid-dbem3_a,ECM8,1.0112021590446532
bem1-aid-dbem3_a,YBR076C-A,0.9841760161521627
bem1-aid-dbem3_a,SLM4,
bem1-aid-dbem3_a,ECM33,1.2294717111096976
bem1-aid-dbem3_a,RPG1,1.2542112349250556
bem1-aid-dbem3_a,SEC18,0.8838383804858894
bem1-aid-dbem3_a,SPT7,0.9467188619692573
bem1-aid-dbem3_a,UBC4,1.3700448762289372
bem1-aid-dbem3_a,TEC1,1.2336792832920809
bem1-aid-dbem3_a,MIS1,1.3037584254085879
bem1-aid-dbem3_a,RPL19A,1.2134698667979964
bem1-aid-dbem3_a,AAC3,1.1003308545815598
bem1-aid-dbem3_a,YBR085C-A,1.1732456135670135
bem1-aid-dbem3_a,IST2,0.9201391964057752
bem1-aid-dbem3_a,RFC5,-0.7063642439297261
bem1-aid-dbem3_a,POL30,0.4317271492413737
bem1-aid-dbem3_a,YBR089W,-0.2065982972745707
bem1-aid-dbem3_a,NHP6B,
bem1-aid-dbem3_a,YBR090C,0.9446208021166501
bem1-aid-dbem3_a,TIM12,-0.1136992476724244
bem1-aid-dbem3_a,PHO3,1.5172466926212922
bem1-aid-dbem3_a,PHO5,1.2693193407032437
bem1-aid-dbem3_a,PBY1,0.6988154525886714
bem1-aid-dbem3_a,RXT2,0.664461128896891
bem1-aid-dbem3_a,YBR096W,0.9841760161521627
bem1-aid-dbem3_a,VPS15,1.1531298133106982
bem1-aid-dbem3_a,MMS4,1.2920148940745069
bem1-aid-dbem3_a,YBR099C,1.3829226760749824
bem1-aid-dbem3_a,FES1,0.6260469223589608
bem1-aid-dbem3_a,EXO84,1.62834532314899
bem1-aid-dbem3_a,SIF2,1.480855738375772
bem1-aid-dbem3_a,YBR103C-A,
bem1-aid-dbem3_a,YMC2,0.7900822506212879
bem1-aid-dbem3_a,VID24,0.835124709177868
bem1-aid-dbem3_a,PHO88,1.5441012099616538
bem1-aid-dbem3_a,IML3,0.8504924778630455
bem1-aid-dbem3_a,AIM3,0.703087486039518
bem1-aid-dbem3_a,CMD1,
bem1-aid-dbem3_a,YBR109W-A,
bem1-aid-dbem3_a,ALG1,-0.35318212196486304
bem1-aid-dbem3_a,YSA1,0.9213847841296889
bem1-aid-dbem3_a,SUS1,-0.9129625412042968
bem1-aid-dbem3_a,CYC8,1.0469646378632083
bem1-aid-dbem3_a,YBR113W,0.2602830723627168
bem1-aid-dbem3_a,RAD16,1.1005886507397986
bem1-aid-dbem3_a,LYS2,1.1426206149567542
bem1-aid-dbem3_a,YBR116C,1.3700448762289372
bem1-aid-dbem3_a,TKL2,1.3055018845478623
bem1-aid-dbem3_a,TEF2,0.8854134484970975
bem1-aid-dbem3_a,MUD1,0.35318212196486304
bem1-aid-dbem3_a,CBP6,
bem1-aid-dbem3_a,GRS1,-1.3446896904456704
bem1-aid-dbem3_a,YBR121C-A,
bem1-aid-dbem3_a,MRPL36,-0.4317271492413737
bem1-aid-dbem3_a,TFC1,0.20659829727457069
bem1-aid-dbem3_a,YBR124W,0.65267946884158
bem1-aid-dbem3_a,PTC4,1.202369774285421
bem1-aid-dbem3_a,TPS1,0.8638127466831713
bem1-aid-dbem3_a,YBR126W-A,
bem1-aid-dbem3_a,YBR126W-B,
bem1-aid-dbem3_a,VMA2,1.2887943518213776
bem1-aid-dbem3_a,ATG14,1.3027122938913263
bem1-aid-dbem3_a,OPY1,-0.17144407687865681
bem1-aid-dbem3_a,SHE3,-0.09289904960214625
bem1-aid-dbem3_a,CCZ1,0.9915075684808073
bem1-aid-dbem3_a,YBR131C-A,
bem1-aid-dbem3_a,AGP2,0.7520246941883687
bem1-aid-dbem3_a,HSL7,1.0577233439288416
bem1-aid-dbem3_a,YBR134W,0.8344175139277863
bem1-aid-dbem3_a,CKS1,1.2348750925616339
bem1-aid-dbem3_a,MEC1,0.8180415282508461
bem1-aid-dbem3_a,YBR137W,
bem1-aid-dbem3_a,YBR138C,0.7714997053065026
bem1-aid-dbem3_a,YBR139W,1.2773436655327473
bem1-aid-dbem3_a,IRA1,0.838263072527702
bem1-aid-dbem3_a,BMT2,1.46253151456139
bem1-aid-dbem3_a,YBR141W-A,
bem1-aid-dbem3_a,MAK5,1.1838612912007334
bem1-aid-dbem3_a,SUP45,0.9915075684808073
bem1-aid-dbem3_a,YBR144C,1.232593592798068
bem1-aid-dbem3_a,ADH5,1.2687115909954907
bem1-aid-dbem3_a,MRPS9,1.4793603793746226
bem1-aid-dbem3_a,RTC2,1.139000464056108
bem1-aid-dbem3_a,YSW1,1.036429514748943
bem1-aid-dbem3_a,ARA1,0.933762739274575
bem1-aid-dbem3_a,TBS1,1.094700586290503
bem1-aid-dbem3_a,APD1,1.294172416405585
bem1-aid-dbem3_a,SPP381,1.0752255751723692
bem1-aid-dbem3_a,RIB7,-0.053684775088146106
bem1-aid-dbem3_a,RPB5,1.2269303886551597
bem1-aid-dbem3_a,CNS1,0.7142641555988289
bem1-aid-dbem3_a,SLI15,1.136268371205352
bem1-aid-dbem3_a,ICS2,1.07212809392597
bem1-aid-dbem3_a,AMN1,1.27367115298506
bem1-aid-dbem3_a,IFA38,0.9072693635859311
bem1-aid-dbem3_a,CDC28,1.1732456135670135
bem1-aid-dbem3_a,CSH1,
bem1-aid-dbem3_a,TOS1,1.2256549584625773
bem1-aid-dbem3_a,YSY6,
bem1-aid-dbem3_a,EXO5,0.1566739384858851
bem1-aid-dbem3_a,ARL1,1.0314915321077662
bem1-aid-dbem3_a,UBS1,1.4100677293542312
bem1-aid-dbem3_a,TYR1,1.1195608384788673
bem1-aid-dbem3_a,POP7,0.8200634916021504
bem1-aid-dbem3_a,PEX32,0.9129625412042968
bem1-aid-dbem3_a,SSE2,0.8021832676885511
bem1-aid-dbem3_a,NPL4,1.2306031116288707
bem1-aid-dbem3_a,SEC66,0.4917416218256519
bem1-aid-dbem3_a,SMY2,0.9022351113832907
bem1-aid-dbem3_a,UMP1,1.7128152322523105
bem1-aid-dbem3_a,YBR174C,1.3180064162915583
