strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,-220000.0,0.020314285714285712,0.014020163106931872,28,0.0026495617801074573
strain_yWT04a,-210000.0,0.021389285714285715,0.018229957828636425,28,0.0034451382018405013
strain_yWT04a,-200000.0,0.018467857142857143,0.01312546446646051,28,0.0024804796300335425
strain_yWT04a,-190000.0,0.01852142857142857,0.013372784888024472,28,0.002527218796433964
strain_yWT04a,-180000.0,0.018321428571428572,0.013649131220293221,28,0.002579443344355959
strain_yWT04a,-170000.0,0.017043333333333334,0.014121777834090236,30,0.0025782720906025566
strain_yWT04a,-160000.0,0.0169375,0.0150018654753979,32,0.002651980202025551
strain_yWT04a,-150000.0,0.027409375,0.015687438150501387,32,0.002773173473916021
strain_yWT04a,-140000.0,0.029965625,0.018359661416777535,32,0.003245560272023103
strain_yWT04a,-130000.0,0.0257375,0.012211014330011323,32,0.0021586227594792783
strain_yWT04a,-120000.0,0.026596875,0.014494103013895665,32,0.0025622196320855004
strain_yWT04a,-110000.0,0.0318125,0.01269906651382615,32,0.00224489901166637
strain_yWT04a,-100000.0,0.035853125,0.010995687846136656,32,0.001943781359953433
strain_yWT04a,-90000.0,0.03128125,0.0070455860123956006,32,0.0012454954116995038
strain_yWT04a,-80000.0,0.040171875,0.017071939519328574,32,0.003017921050530961
strain_yWT04a,-70000.0,0.038025,0.016220297916996747,32,0.0028673706624936083
strain_yWT04a,-60000.0,0.036896875,0.014621117833242039,32,0.0025846728921032516
strain_yWT04a,-50000.0,0.038628125,0.013603705244196072,32,0.0024048180568585105
strain_yWT04a,-40000.0,0.049303125,0.016311869503326356,32,0.0028835583849080265
strain_yWT04a,-30000.0,0.041521875,0.012452431667569343,32,0.0022012997186000977
strain_yWT04a,-20000.0,0.049196875,0.015380894818027522,32,0.0027189837566360723
strain_yWT04a,-10000.0,0.060340625,0.01817207818063817,32,0.003212399927445337
strain_yWT04a,0.0,0.06495625000000001,0.019947753329716756,32,0.003526297912219813
strain_yWT04a,10000.0,0.066109375,0.017707814192263874,32,0.003130328873835293
strain_yWT04a,20000.0,0.05345625,0.015947270724120388,32,0.0028191058176108073
strain_yWT04a,30000.0,0.04941875,0.017877891148999757,32,0.003160394516193171
strain_yWT04a,40000.0,0.051034375,0.02442444055389944,32,0.004317671885587502
strain_yWT04a,50000.0,0.035221875,0.009831376183489792,32,0.0017379581919353877
strain_yWT04a,60000.0,0.0345,0.011939416963124911,32,0.00211061067450983
strain_yWT04a,70000.0,0.039975,0.016562569537285552,32,0.002927876308422088
strain_yWT04a,80000.0,0.034340625,0.01638756136033393,32,0.0028969389412506915
strain_yWT04a,90000.0,0.03136875,0.016215532925701704,32,0.002866528323079353
strain_yWT04a,100000.0,0.028975,0.016476160686511344,32,0.0029126012373378437
strain_yWT04a,110000.0,0.03600625,0.023634528288488325,32,0.004178033805733845
strain_yWT04a,120000.0,0.023771874999999998,0.010512212080365419,32,0.0018583141118243829
strain_yWT04a,130000.0,0.02259375,0.012633109021471597,32,0.0022332392641378792
strain_yWT04a,140000.0,0.02716875,0.021336632704372315,32,0.003771819418237082
strain_yWT04a,150000.0,0.020615625,0.011287706969488191,32,0.0019954035355429383
strain_yWT04a,160000.0,0.017840625,0.011239700930902433,32,0.0019869171866874653
strain_yWT04a,170000.0,0.021120000000000003,0.012397090871207066,30,0.0022633887725338276
strain_yWT04a,180000.0,0.0224,0.01089495295997188,28,0.002058952576988046
strain_yWT04a,190000.0,0.023607142857142858,0.012751962189504001,28,0.0024098943343947355
strain_yWT04a,200000.0,0.02316785714285714,0.016621027591609917,28,0.003141078967267334
strain_yWT04a,210000.0,0.018785714285714288,0.01218471155863756,28,0.0023026940415149426
strain_yWT04a,220000.0,0.020339285714285716,0.016391694809572276,28,0.0030977391452140356
strain_yWT04a,230000.0,0.019646153846153848,0.011404779025276403,26,0.002236661184542234
strain_yWT04a,240000.0,0.03207307692307692,0.047272144505552595,26,0.009270830280122716
strain_yWT04a,250000.0,0.021157692307692308,0.0184994307604731,26,0.0036280368630004205
strain_yWT04a,260000.0,0.016546153846153846,0.010454098938473112,26,0.002050217480165539
strain_yWT04a,270000.0,0.025150000000000002,0.018791045739926234,26,0.003685227265719171
strain_yWT04a,280000.0,0.016642307692307692,0.010511295755592573,26,0.0020614346988812133
strain_yWT04a,290000.0,0.023584615384615384,0.021505584247961132,26,0.004217592066598747
strain_yWT04a,300000.0,0.03836923076923077,0.061114363413068584,26,0.011985512754001448
strain_yWT04a,310000.0,0.055084615384615385,0.12948659140562066,26,0.02539440985868752
strain_yWT04a,320000.0,0.03329230769230769,0.05088815125804374,26,0.009979987549054855
strain_yWT04a,330000.0,0.021,0.025665993064753992,26,0.005033515364342988
strain_yWT04a,340000.0,0.02221923076923077,0.01956374236654673,26,0.0038367655417662944
strain_yWT04a,350000.0,0.01784615384615385,0.013383100710051636,26,0.0026246419874204133
strain_yWT04a,360000.0,0.014115384615384615,0.010343720503095287,26,0.00202857048801664
strain_yWT04a,370000.0,0.0151,0.011900957944636222,26,0.002333969876544122
strain_yWT04a,380000.0,0.0202,0.015360593285643511,24,0.003135467974687328
strain_yWT04a,390000.0,0.019870833333333334,0.0160175848791982,24,0.0032695758221462433
strain_yWT04a,400000.0,0.013808333333333334,0.010409732764671917,24,0.0021248778026814862
strain_yWT04a,410000.0,0.016004166666666667,0.012397492003264792,24,0.002530627458186132
strain_yWT04a,420000.0,0.022895833333333334,0.023352915825143376,24,0.0047668939814806376
strain_yWT04a,430000.0,0.01674583333333333,0.02202638692601428,24,0.004496117403820456
strain_yWT04a,440000.0,0.018762499999999998,0.02184944159071547,24,0.004459998588499809
